epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,3635.6,0.38553,0.5481,0.25616,0.84071,0.94623,0.91174,0.96466,0.84887,0.94825,0.90599,0.96057,0.80991,0.53027,0.83368,0.30432,0.88695,0.00909088,0.00909088,0.00909088
100,3672.16,0.38311,0.54005,0.25449,0.83942,0.94531,0.91182,0.96465,0.84878,0.94493,0.90916,0.9608,0.80934,0.53046,0.83143,0.30372,0.88694,0.00907284,0.00907284,0.00907284
101,3708.85,0.38302,0.54083,0.25376,0.83986,0.94505,0.91147,0.96436,0.84885,0.94501,0.90901,0.96048,0.80972,0.52998,0.83077,0.30359,0.88653,0.00905463,0.00905463,0.00905463
102,3745.46,0.38243,0.54261,0.25405,0.83976,0.94656,0.91117,0.96423,0.84915,0.94617,0.90937,0.96055,0.80999,0.52984,0.83044,0.30377,0.88564,0.00903627,0.00903627,0.00903627
103,3782.1,0.38161,0.5409,0.25322,0.83873,0.94633,0.91188,0.96413,0.84859,0.9475,0.90747,0.96026,0.8086,0.52958,0.83077,0.30361,0.88567,0.00901776,0.00901776,0.00901776
104,3818.68,0.38156,0.53904,0.25329,0.84019,0.94836,0.90877,0.96409,0.84892,0.94795,0.90716,0.96032,0.8089,0.52934,0.83192,0.30366,0.88614,0.00899908,0.00899908,0.00899908
105,3855.25,0.38074,0.53666,0.25337,0.83962,0.94844,0.90975,0.96405,0.8489,0.94744,0.90857,0.96031,0.80845,0.52933,0.83176,0.30322,0.88599,0.00898025,0.00898025,0.00898025
106,3891.97,0.37901,0.5358,0.25226,0.83849,0.94766,0.91041,0.96398,0.84841,0.94907,0.90711,0.95985,0.80828,0.52974,0.83379,0.30305,0.88623,0.00896127,0.00896127,0.00896127
107,3928.64,0.37953,0.53675,0.25096,0.83872,0.94771,0.91068,0.96406,0.84853,0.94876,0.90732,0.95977,0.80802,0.52985,0.83419,0.30224,0.88553,0.00894213,0.00894213,0.00894213
108,3965.5,0.37671,0.53577,0.25067,0.83829,0.94644,0.91202,0.96406,0.8486,0.94707,0.90931,0.95991,0.80813,0.5292,0.83397,0.30213,0.88525,0.00892283,0.00892283,0.00892283
